Track,Artist,Album,Playlist, Type, ISRC
The Diary of Jane - Single Version,Breaking Benjamin,Phobia (Clean Version),workout,Playlist track,USHR10622153
Headstrong,Trapt,Trapt,workout,Playlist track,USWB10201991
